Berdasarkan teks yang diberikan, sulit untuk memberikan penilaian yang komprehensif terhadap seluruh 27 indikator karena informasi yang tersedia sangat terbatas dan tidak memberikan data kuantitatif yang dibutuhkan untuk sebagian besar indikator.  Teks tersebut lebih berfokus pada gambaran umum risiko dan peluang iklim, serta strategi perusahaan, bukan pada data emisi dan inisiatif pengurangan emisi yang spesifik.

Oleh karena itu, penilaian berikut hanya didasarkan pada informasi yang tersedia di dalam teks yang diberikan dan banyak indikator akan diberi label "0: Not Reported" karena informasi yang dibutuhkan tidak ada.  Penilaian ini bersifat sementara dan bisa berubah jika diberikan dokumen lengkap.

| No | Indikator | Label | Deskripsi | Halaman |
|---|---|---|---|---|
| 1 | Assessment/description/identification of climate change-related risk | 1: Qualitative | Deskripsi kualitatif risiko perubahan iklim disebutkan, seperti dampak perubahan kecepatan angin terhadap aset angin dan ketidakpastian pendapatan akibatnya. (Halaman 8, 20) | 8, 20 |
| 2 | Assessment/description/identification of climate change-related opportunities | 1: Qualitative |  Disebutkan peluang dari investasi energi bersih dan peningkatan permintaan energi terbarukan, tetapi tanpa data kuantitatif. (Halaman 8) | 8 |
| 3 | Assessment of the impact of future climate-related risk and opportunities | 1: Qualitative |  Analisis kualitatif dampak risiko dan peluang iklim di masa depan,  misalnya penurunan pendapatan akibat penurunan kecepatan angin. (Halaman 8, 20) | 8, 20 |
| 4 | Description of scope1 emissions | 0: Not Reported | Tidak ada informasi mengenai emisi Scope 1. | - |
| 5 | Comparison of scope1 emissions with the previous year | 0: Not Reported | Tidak ada informasi mengenai emisi Scope 1. | - |
| 6 | Description of scope2 emissions | 0: Not Reported | Tidak ada informasi mengenai emisi Scope 2. | - |
| 7 | Comparison of scope2 emissions with the previous year | 0: Not Reported | Tidak ada informasi mengenai emisi Scope 2. | - |
| 8 | Description of scope3 emissions | 0: Not Reported | Tidak ada informasi mengenai emisi Scope 3. | - |
| 9 | Comparison of scope3 emissions with the previous year | 0: Not Reported | Tidak ada informasi mengenai emisi Scope 3. | - |
| 10 | Total GHG emissions | 0: Not Reported | Tidak ada informasi mengenai total emisi GRK. | - |
| 11 | Emission of Ozone depleting substances | 0: Not Reported | Tidak ada informasi mengenai emisi zat perusak ozon. | - |
| 12 | Nitrogen oxide, sulfur oxide and other air emissions | 0: Not Reported | Tidak ada informasi mengenai emisi nitrogen oksida, sulfur oksida, dan emisi udara lainnya. | - |
| 13 | Disclosure of emission intensity | 0: Not Reported | Tidak ada informasi mengenai intensitas emisi. | - |
| 14 | Disclosure of GHG emissions by sources | 0: Not Reported | Tidak ada informasi mengenai sumber emisi GRK. | - |
| 15 | Disclosure of GHG emission by facilities/segment | 0: Not Reported | Tidak ada informasi mengenai emisi GRK berdasarkan fasilitas/segmen. | - |
| 16 | Description of protocol/standard/methodology used to measure GHG emissions | 0: Not Reported | Tidak ada informasi mengenai protokol/standar/metodologi yang digunakan untuk mengukur emisi GRK. | - |
| 17 | Disclosure of reduction in emissions | 0: Not Reported | Tidak ada informasi mengenai pengurangan emisi. | - |
| 18 | Disclosure of initiatives taken to reduce emissions | 1: Qualitative |  Disebutkan investasi di teknologi energi bersih, tetapi tanpa detail spesifik. (Halaman 8) | 8 |
| 19 | Description of targets set to reduce emissions | 0: Not Reported | Tidak ada informasi mengenai target pengurangan emisi. | - |
| 20 | Comparison of current year targets with the previous year | 0: Not Reported | Tidak ada informasi mengenai target pengurangan emisi. | - |
| 21 | Are emissions generated within permissible limits given by CPCB/SPCB | 0: Not Reported | Tidak ada informasi mengenai pembatasan emisi. | - |
| 22 | Environment management system in the company | 0: Not Reported | Tidak ada informasi mengenai sistem manajemen lingkungan perusahaan. | - |
| 23 | Identify the person/management/committee responsible for climate policies/strategy | 0: Not Reported | Tidak disebutkan secara spesifik siapa yang bertanggung jawab. | - |
| 24 | Description of climate change-related business strategy | 1: Qualitative |  Deskripsi kualitatif strategi bisnis terkait perubahan iklim disebutkan, tetapi tanpa detail spesifik. (Halaman 8) | 8 |
| 25 | Consumption of fuel | 0: Not Reported | Tidak ada informasi mengenai konsumsi bahan bakar. | - |
